candidate,color
Biden,DarkBlue
Booker,DarkOrange
Harris,DarkOrchid
Klobuchar,DarkGreen
O'Rourke,Indigo
Sanders,Aqua
Warren,PaleGreen
Gillibrand,LightSeaGreen
Castro,DarkGrey
Other,Tomato
